CityName,SubjectName,Population
Москва,Город федерального значения Москва,12506468
Санкт-Петербург,Город федерального значения Санкт-Петербург,5351935
Новосибирск,Новосибирская область,1612833
Екатеринбург,Свердловская область,1468833
Нижний Новгород,Нижегородская область,1259013
Казань,Республика Татарстан,1243500
Челябинск,Челябинская область,1202371
Омск,Омская область,1172070
Самара,Самарская область,1163399
Ростов-на-Дону,Ростовская область,1130305
Уфа,Республика Башкортостан,1120547
Красноярск,Красноярский край,1090811
Пермь,Пермский край,1051583
Воронеж,Воронежская область,1047549
Волгоград,Волгоградская область,1013533
Рязань,Рязанская область,538962
Астрахань,Астраханская область,533925
Набережные Челны,Республика Татарстан,532472
Пенза,Пензенская область,523553
Липецк,Липецкая область,509735
Киров,Кировская область,507155
Волжский,Волгоградская область,325224
Саранск,Республика Мордовия,318841
Курган,Курганская область,318045
Череповец,Вологодская область,317970
Орёл,Орловская область,315308
Вологда,Вологодская область,312420
Якутск,Республика Саха (Якутия),311760
Владикавказ,Республика Северная Осетия-Алания,306258
Подольск,Московская область,302831
Грозный,Чеченская Республика,297137
Мурманск,Мурманская область,295374
Тамбов,Тамбовская область,293661
Стерлитамак,Республика Башкортостан,279626
Петрозаводск,Республика Карелия,279190
Кострома,Костромская область,277280
Нижневартовск,Ханты-Мансийский автономный округ - Югра,275429
Новороссийск,Краснодарский край,273278
Йошкар-Ола,Республика Марий Эл,268272
Химки,Московская область,250688
Копейск,Челябинская область,148136
Пятигорск,Ставропольский край,145885
Рубцовск,Алтайский край,144128
Березники,Пермский край,143072
Коломна,Московская область,142691
Майкоп,Республика Адыгея,141970
Хасавюрт,Республика Дагестан,141259
Одинцово,Московская область,140537
Ковров,Владимирская область,137594
Кисловодск,Ставропольский край,129593
Домодедово,Московская область,127850
Нефтекамск,Республика Башкортостан,127821
Нефтеюганск,Ханты-Мансийский автономный округ - Югра,126998
Батайск,Ростовская область,126769
Новочебоксарск,Чувашская Республика,126626
Серпухов,Московская область,125817
Щёлково,Московская область,125634
Новомосковск,Тульская область,124787
Дербент,Республика Дагестан,123720
Первоуральск,Свердловская область,123655
Черкесск,Карачаево-Черкесская Республика,122395
Орехово-Зуево,Московская область,118822
Назрань,Республика Ингушетия,117936
Невинномысск,Ставропольский край,117446
Кызыл,Республика Тыва,116983
Каспийск,Республика Дагестан,116340
Раменское,Московская область,116077
Димитровград,Ульяновская область,115253
Обнинск,Калужская область,115029
Новый Уренгой,Ямало-Ненецкий автономный округ,114837
Октябрьский,Республика Башкортостан,113827
Камышин,Волгоградская область,111100
Муром,Владимирская область,109072
Долгопрудный,Московская область,108861
Ессентуки,Ставропольский край,108679
Новошахтинск,Ростовская область,108345
Жуковский,Московская область,108187
Северск,Томская область,107494
Ноябрьск,Ямало-Ненецкий автономный округ,106930
Евпатория,Республика Крым,106777
Артем,Приморский край,106692
Пушкино,Московская область,105479
Ачинск,Красноярский край,105259
Елец,Липецкая область,104349
Арзамас,Нижегородская область,104140
Реутов,Московская область,103779
Бердск,Новосибирская область,103578
Сергиев Посад,Московская область,103444
Элиста,Республика Калмыкия,103132
Ногинск,Московская область,102592
Новокуйбышевск,Самарская область,102075
Железногорск,Курская область,100740
